id,titulo,corpo
0,Alcolumbre diz que Senado vai recorrer no STF de medidas contra Marcos do Val,"O presidente do Senado, Davi Alcolumbre (União-AP), afirmou nesta quarta-feira (13), que a Casa ainda analisa como recorrerá ao Supremo Tribunal Federal (STF) a favor do senador Marcos do Val (Podemos-ES), obrigado a usar tornozeleira eletrônica desde 4 de agosto. “A Advocacia do Senado está estabelecendo a peça jurídica que vamos impetrar no STF e buscando no ponto de vista jurídico-institucional, para recorrermos da decisão contra o senador Marcos do Val”, disse Alcolumbre, durante sessão do Senado, após senadores de oposição discursarem em defesa de Do Val. Alcolumbre afirmou que avalia outras demandas de Do Val. As medidas contra o senador também incluem bloqueio de contas bancárias e do salário como parlamentar.
Do Val passou a usar uma tornozeleira eletrônica e teve o salário e verba de gabinete bloqueados pelo STF. Investigado por suposta intimidação de delegados da Polícia Federal (PF) que atuam no tribunal, o senador violou uma decisão ao viajar aos Estados Unidos mesmo com a ordem de bloqueio de passaportes. Nos últimos dias, Alcolumbre e líderes partidários acertaram que, em contrapartida a uma flexibilização das medidas cautelares contra Do Val pelo STF, o Senado afastará o senador do mandato por seis meses. A Procuradoria do Senado formalizará esse pedido à Mesa Diretora, composta por sete senadores.
Antes de viajar aos Estados Unidos no mês passado, Marcos Do Val enviou ofícios ao diretor-geral da PF e ao Itamaraty pedindo uma “intervenção” urgente contra as decisões de Moraes que haviam bloqueado seus passaportes.
*Com informações do Estadão Conteúdo
Publicado por Fernando Dias"
1,Congresso abre CPMI do INSS em meio a reviravolta política e troca de relator,"Foi instalada no Congresso Nacional nesta quarta-feira (20) a Comissão Parlamentar Mista de Inquérito (CPMI) do INSS, criada para investigar fraudes e falhas na Previdência Social. O colegiado, formado por 32 membros titulares — 16 senadores e 16 deputados federais — terá um prazo inicial de 120 dias para apurar denúncias de desvio de recursos públicos, atuação de quadrilhas especializadas, lentidão na análise de processos e falhas nos sistemas digitais do INSS. Entre os focos também estão os descontos indevidos em aposentadorias e pensões, além de irregularidades em empréstimos consignados.
 Em vitória da oposição, o senador Carlos Viana (Podemos-MG) foi eleito presidente da CPMI com 17 votos, derrotando o senador Omar Aziz (PSD-AM), que era dado como favorito. A articulação contou com a retirada da candidatura de Eduardo Girão (Novo-CE), que unificou os votos oposicionistas. A derrota foi considerada um revés para governistas e para o presidente do Senado, Davi Alcolumbre (União Brasil-AP), que apoiava Aziz.
Logo após assumir o comando, Carlos Viana surpreendeu ao indicar o deputado Alfredo Gaspar (União Brasil-AL), ligado a Jair Bolsonaro, como relator da comissão, em lugar de Ricardo Ayres (Republicanos-TO), que já vinha se apresentando como relator indicado pela Câmara. A substituição gerou atrito político, já que Ayres havia declarado que pretendia conduzir o processo de forma técnica e imparcial, e defendia investigações sobre consignados e associações suspeitas de fraudes.
Em seu primeiro discurso, Viana prometeu independência e responsabilidade, afirmando que a comissão deve buscar medidas que impeçam novos prejuízos aos aposentados, sem distinção de governos. O senador também destacou que a expectativa é de que o colegiado apresente resultados concretos.
O escândalo que motivou a criação da CPMI foi revelado neste ano, em série de reportagens que mostraram fraudes em filiações de segurados e descontos irregulares em benefícios. Segundo levantamentos, associações chegaram a arrecadar R$ 2 bilhões em um ano, o que levou à abertura de investigações pela Polícia Federal e pela Controladoria-Geral da União (CGU).






Siga o canal da Jovem Pan News e receba as principais notícias no seu WhatsApp!






WhatsApp






A expectativa é que os trabalhos da CPMI resultem em medidas para garantir maior eficiência, segurança e transparência na gestão da Previdência Social, além de responsabilizar envolvidos em desvios e fraudes.


Leia também







STF tem maioria para obrigar Previdência a pagar auxílio a vítimas de violência doméstica







STF envia investigações sobre fraudes no INSS para a PGR





"
2,Gleisi Hoffmann diz que MP ‘Brasil Soberano’ estabelece medidas para proteger o Brasil de tarifaço de Trump,"A ministra da Secretaria de Relações Institucionais (SRI), Gleisi Hoffmann, afirmou nesta quarta-feira (13), que o plano de contingência para mitigar os impactos do “tarifaço” dos EUA pretende proteger o Brasil de uma “medida unilateral” que o governo considera uma “verdadeira chantagem provocada por aqueles que tentaram abolir o Estado Democrático de Direito e agora respondem por seus crimes perante a lei e a Justiça”.
“É uma grande responsabilidade que, mais uma vez, devemos compartilhar com o Congresso Nacional, como já fizemos em outras iniciativas de interesse desse país. Por isso, eu agradeço especialmente a presença dos nossos presidentes, Davi Alcolumbre do Senado e Hugo Mota da Câmara nessa cerimônia”, afirmou Gleisi, em um discurso rápido na abertura do evento de assinatura da Medida Provisória “Brasil Soberano” no Palácio do Planalto nesta quarta-feira.
De acordo com a ministra, a MP estabelece medidas para “proteger as empresas, exportações, a economia, os empregos, as famílias brasileiras” do tarifaço de 50% estabelecido pelo governo dos Estados Unidos sobre produtos brasileiros.
*Com informações do Estadão Conteúdo
Publicado por Carol Santos"
3,Senado aprova pedido de Damares para verificar condições da prisão domiciliar de Bolsonaro,"A Comissão de Direitos Humanos do Senado Federal aprovou nesta quarta-feira (13), um requerimento da senadora Damares Alves (Republicanos-DF) para que uma visita seja realizada na casa do ex-presidente Jair Bolsonaro (PL), que está em prisão domiciliar. A data e os nomes dos senadores que participarão da atividade ainda não foram informados. No pedido, a senadora justifica que a diligência é “ato legítimo de fiscalização, voltado à preservação dos direitos assegurados a todos os cidadãos brasileiros”. Damares, aliada e ex-ministra de Bolsonaro, cita no documento uma “grave situação de violação de garantias fundamentais em nosso país” e afirma que o objetivo é “verificar as condições em que se cumpre a medida de prisão domiciliar”, “incluindo a preservação da integridade física e psicológica, bem como a regularidade e proporcionalidade das medidas restritivas impostas”.
A prisão de Bolsonaro foi decretada no início de agosto por descumprimento de ordem do STF para não usar redes sociais, inclusive por meio de terceiros. O ministro Alexandre de Moraes, relator do caso em que o ex-presidente é réu na Corte por tentativa de golpe de Estado, entendeu que houve descumprimento das medidas cautelares por Bolsonaro ter veiculado conteúdo nas redes sociais dos filhos. Na quarta-feira (12), Moraes autorizou que Bolsonaro deixe a prisão domiciliar para fazer exames no próximo sábado, 16, atendendo a pedido da defesa.
Na mesma decisão, também foram autorizadas visitas do senador Rogério Marinho (PL-RN), do deputado Altineu Côrtes (PL-RJ), do vice-prefeito de São Paulo Ricardo Mello Araújo (PL) e do deputado estadual Tomé Abduch (Republicanos-SP). Já na semana passada, os médicos foram autorizados a visitar Bolsonaro.
*Com informações do Estadão Conteúdo
Publicado por Fernando Dias"
4,Quaest: governo Lula tem 51% de desaprovação e 46% de aprovação,"A nova pesquisa Quaest, divulgada nesta quarta-feira (20), mostra que 51% dos entrevistados desaprovam o governo do presidente Luiz Inácio Lula da Silva, enquanto 46% aprovam a terceira gestão do petista. A diferença de cinco pontos percentuais é a menor registrada desde o início de 2025, quando o levantamento apontava empate técnico.
O resultado indica uma oscilação positiva de três pontos na aprovação em relação ao levantamento de julho, quando era de 43%. Já a desaprovação recuou dois pontos no mesmo período. Os que não souberam ou não responderam somaram 3%.
O estudo ainda avaliou a percepção dos brasileiros sobre a tarifa de 50% imposta pelos Estados Unidos a produtos brasileiros desde 6 de agosto.
Para 64% dos entrevistados, a tarifa vai aumentar o preço dos alimentos no Brasil. Além disso, 71% consideram que Trump está errado em impor a taxa, 77% avaliam que a medida vai prejudicar a vida dos brasileiros e 67% defendem a negociação como melhor caminho para reagir. Apenas 26% apoiam uma retaliação com tarifas brasileiras, queda de cinco pontos em relação à pesquisa anterior. O levantamento ouviu eleitores entre os dias 13 e 17 de agosto. A margem de erro é de dois pontos percentuais, para mais ou para menos, e o nível de confiança é de 95%."
5,Mauro Cid e Marcelo Câmara ficam frente a frente em acareação no STF sobre suposta trama golpista,"O tenente-coronel Mauro Cid, ex-ajudante de ordens de Jair Bolsonaro (PL), participou nesta quarta-feira (13) de uma acareação com o coronel Marcelo Câmara, também ex-assessor do ex-presidente. Os dois ficaram frente a frente no Supremo Tribunal Federal (STF). A oitiva, conduzida pelo ministro Alexandre de Moraes, começou por volta das 11h40 e terminou às 12h28.
Trata-se de uma etapa da ação penal que tramita na Suprema Corte contra Câmara e outros cinco réus acusados de envolvimento na tentativa de golpe de Estado. Cid também responde a outro processo sobre o mesmo episódio, no qual é apontado como integrante do chamado “núcleo crucial” da organização criminosa que buscava promover a ruptura democrática.
Marcelo Câmara é acusado de integrar o “núcleo de gerenciamento de ações” da tentativa de golpe. De acordo com a Procuradoria-Geral da República (PGR), os réus desse núcleo teriam desempenhado funções de coordenação em iniciativas golpistas. Entre elas, estariam o uso da Polícia Rodoviária Federal (PRF) para dificultar o voto de eleitores de Luiz Inácio Lula da Silva (PT), a elaboração de uma minuta de decreto com teor golpista e o planejamento de assassinatos de autoridades.
A acareação foi determinada por Moraes, relator do processo no STF, após pedido da defesa de Marcelo Câmara. Prevista na legislação penal, essa medida é utilizada para esclarecer contradições em depoimentos, colocando acusados e/ou testemunhas frente a frente para elucidar pontos controversos.
No requerimento enviado a Moraes, os advogados de Câmara citaram três pontos que, segundo eles, precisam ser esclarecidos, como a declaração de Mauro Cid de que Câmara teria acessado e manipulado minutas golpistas supostamente apresentadas em reuniões de teor antidemocrático no Palácio da Alvorada. Além disso, necessita de resposta a afirmação de que Câmara monitorou de forma contínua o ministro Alexandre de Moraes e a chapa eleita em 2022, Lula-Alckmin. Declarações sobre o conhecimento de Câmara a respeito dos motivos desse monitoramento e sua ligação com o “kid preto” Rafael Martins de Oliveira também aguardam esclarecimentos.
Marcelo Câmara, que está preso, participou presencialmente da acareação. Moraes determinou que ele fosse levado ao Supremo usando tornozeleira eletrônica e ficasse no local apenas pelo tempo necessário para o ato, sem poder se comunicar com ninguém além de seu advogado."
6,"Mauro Cid confirma depoimentos, mas esclarece pontos em favor de Marcelo Câmara","O tenente-coronel Mauro Cid confirmou nesta quarta-feira (13) os depoimentos que fez em manifestações anteriores ao Supremo Tribunal Federal (STF), mas concordou com a inserção de “esclarecimentos” favoráveis ao coronel Marcelo Câmara. Ambos são réus em uma das ações penais sobre a trama golpista que teria tentado manter o ex-presidente Jair Bolsonaro no poder.
Os dois participaram nesta quarta de uma acareação no Supremo, em que ficaram frente a frente por cerca de 50 minutos. Questionado sobre divergências nas versões apresentadas por ele e por Câmara para os mesmos fatos, Cid reafirmou que o coronel sabia sobre uma minuta de decreto de teor golpista que estaria circulando.
O delator, contudo, disse não poder afirmar que a minuta da qual Câmara tinha conhecimento era a mesma que fora apresentada pelo ex-assessor Filipe Martins, a Bolsonaro. A existência de tal documento é um dos fundamentos da denúncia apresentada contra o coronel.
Em outro momento, Cid também confirmou que Câmara realizou em 2022 diligências de monitoramento do ministro Alexandre de Moraes, do então presidente eleito Luiz Inácio Lula da Silva e do vice eleito Geraldo Alckmin. Ele afirmou, contudo, que não poderia dizer se Câmara sabia sobre monitoramentos para o chamado plano “Punhal Verde e Amarelo”, que teria o objetivo de assassinar os alvos. Em sua vez de falar, Câmara reiterou a versão de que eventuais monitoramentos realizados por ele tinham o objetivo de “acertar agendas” e não tinha relação com qualquer plano golpista.
O advogado Eduardo Kuntz, que representa Câmara disse ter ficado “satisfeito” com a acareação. “Esperamos que contribua para a absolvição”, disse a jornalistas. “Hoje ficou muito claro que não existiu monitoramento com o objetivo de atacar o ministro Moraes”, afirmou. A acareação foi marcada pelo ministro Alexandre de Moraes, relator das quatro ações penais sobre a tentativa de golpe, a pedido da defesa de Câmara. O procedimento está previsto no devido processo legal.
Preso preventivamente em uma penitenciária de Brasília, Câmara foi levado sob escolta ao Supremo. Após a acareação a defesa voltou a pedir que ele possa aguardar em liberdade pelo julgamento. Moraes pediu parecer da Procuradoria-Geral da República (PGR) antes de decidir sobre a prisão preventiva, mas autorizou antecipadamente o pedido para que Câmara tenha acesso a um computador na prisão, de modo que possa preparar sua autodefesa.
A acareação foi feita na ação penal do núcleo 2 da trama golpista. Com cinco réus, o grupo foi apontado pela PGR como responsável por ações gerenciais para o golpe, como a produção de minutas golpistas e a coordenação de operações contra adversários. Todos foram denunciados pela Procuradoria-Geral da República (PGR) por cinco crimes: organização criminosa, golpe de Estado, tentativa violenta de abolir o Estado Democrático de Direito, dano qualificado e deterioração de patrimônio tombado.
 
*Com informações da Agência Brasil"
7,"Controle parental, bloqueio de conteúdos e punições para plataformas: conheça o texto do PL para proteção de crianças na internet",
8,CCJ inclui na pauta dois projetos de lei que endurecem crimes contra menores nas redes,"A Comissão de Constituição e Justiça (CCJ) da Câmara dos Deputados decidiu pautar nesta quarta-feira (13) duas propostas legislativas em resposta à pauta do combate à adultização de crianças e adolescentes nas redes sociais, tema que ganhou popularidade pelo youtuber Felca. O presidente do colegiado, Paulo Azi (União-BA), decidiu colocar para votação um projeto de lei, de autoria da ex-deputada federal Sheridan (sem partido-RR), que aumenta a pena ao crime de aliciamento de crianças e adolescentes quando cometido em um aplicativo de comunicação.
Já a segunda proposta, do deputado Fred Costa (PRD-MG), autoriza delegados e Ministérios Públicos a solicitarem diretamente às plataformas, às redes sociais e aos meios de comunicação material que possa subsidiar denúncias no âmbito de investigação criminal de abuso, violência ou exploração sexual de criança ou adolescente, sem necessidade de autorização judicial. “Esta presidência conhece a gravidade da situação e entende a necessidade de fortalecermos o arcabouço legal, para essas ações efetivamente serem enfrentadas e coibidas”, disse Azi, que também mencionou o vídeo de Felca.
O youtuber publicou um vídeo que já tem 35 milhões de visualizações em que faz um compilado de denúncias sobre influenciadores que abusam da imagem de crianças, mostra como o algoritmo funciona para entregar esse tipo de conteúdo para pedófilos e entrevista uma psicóloga especializada para falar sobre o perigo da exposição nas redes sociais para as crianças e adolescentes.
Aumento de pena para quem aliciar crianças e adolescentes online
O projeto de lei de autoria da ex-deputada Shéridan (PSDB-RR) impõe a pena de um a três anos de prisão para quem facilitar o acesso a conteúdo pornográfico para crianças e assediar crianças para fazê-las se exibirem de forma sexualmente explícita. Se esses crimes forem cometido por meio de aplicativo de comunicação via internet, a pena é aumentada em um terço. A relatora da proposta é a deputada Laura Carneiro (PSD-RJ). “No mérito, entendo que o texto chega para análise em boa hora, considerando o grave e importante relato trazido pelo youtuber Felca sobre a ‘adultização’ de crianças, oportunidade na qual apresentou casos sérios de exploração e sexualização de menores nas redes sociais, com amplo material audiovisual”, argumentou a parlamentar.
Plataformas devem ser obrigadas a fornecerem dados a autoridades investigativas para apuração de crimes sexuais contra crianças e adolescentes
Essa segunda proposta, de autoria de Fred Costa, passou por alteração no texto na CCJ por parte do relator, deputado Paulo Bilynskyj (PL-SP). A alteração foi feita para impor alguns limites a quais informações ou a quem poderiam ser requisitadas sem autorização judicial.
No novo texto, Bilynskyj estabelece que o delegado de polícia ou membro do Ministério Público pode pedir, de quaisquer órgãos do poder público ou de empresas da iniciativa privada, dados e informações cadastrais de um investigado por crime de abuso, violência ou exploração sexual de criança sem precisar de autorização judicial.
Os órgãos públicos ou empresas terão até dez dias para atender a demanda. Caso alguém recuse, atrase ou omita dados, a pessoa está sujeita a um a três anos de prisão; no caso de crime culposo, três meses a um ano de detenção.
*Com informações do Estadão Conteúdo
Publicado por Nícolas Robert"
9,"Justiça brasileira bloqueia contas de marido de Carla Zambelli, presa na Itália","A Justiça brasileira bloqueou nesta quarta-feira (13) as contas de Antônio Aginaldo de Oliveira, marido da deputada federal licenciada Carla Zambelli (PL-SP). A decisão foi tomada pelo Supremo Tribunal Federal (STF), e faz parte de uma medida ligada a processos que correm sob sigilo. Aginaldo, que inicialmente acompanhou a mulher na ida à Europa, está agora em Israel e não tem previsão de retorno ao Brasil. As informações foram confirmadas pela defesa do casal.
O marido de Zambelli é Coronel da reserva da Polícia Militar e ex-comandante da Força Nacional durante o governo de Jair Bolsonaro (PL), Oliveira foi exonerado em junho deste ano do cargo de secretário de Segurança Pública de Caucaia, no interior do Ceará. Antes da exoneração, ele já havia pedido afastamento do cargo por motivos de “doença em pessoa da família”, conforme consta no Diário Oficial do município.
Em maio, Carla Zambelli foi condenada a dez anos de prisão por invadir o sistema do Conselho Nacional de Justiça (CNJ) com o auxílio do hacker Walter Delgatti, condenado a oito anos e três meses de prisão no mesmo processo. O objetivo era incluir a emissão de um mandado de prisão falso contra o ministro Alexandre de Moraes, do STF. Ela também foi condenada à perda do mandato parlamentar e ao pagamento de R$ 2 milhões em danos morais coletivos, multa a ser paga também por Delgatti.
Após a condenação, enquanto ainda tramitavam recursos, Zambelli viajou para a Europa e se tornou foragida da Justiça brasileira, mas foi presa na Itália em julho. Diante do pedido de extradição emitido pelo STF, a deputada licenciada aguarda que o país europeu decida se ela será processada na Itália ou seguirá para o Brasil. Como mostrado pelo Estadão, o processo de extradição pode durar de um ano e meio a dois anos, segundo especialistas.
Uma nova audiência foi realizada na manhã desta quarta-feira, 13, mas ainda não houve decisão sobre a possibilidade de Zambelli aguardar o processo em liberdade ou em prisão domiciliar. Ela continuará presa, porém, até que a Justiça italiana avalie questões de saúde, após a deputada alegar ter passado mal hoje.
*Com informações do Estadão Conteúdo
Publicado por Sarah Paula"
